Core,dt,cps,num_steps,L2_Error_1,L2_Error_2,L2_Error_3,Linf_Error_1,Linf_Error_2,Linf_Error_3,Init_time,Elapsed_time
32,0.01,400,50,0.0004553598888359547,0.00045569851398662224,0.015137745147730442,0.0010520925600187227,0.0010166652393173534,0.016101130370652507,1.604735811,57.058128139000004
32,0.01,400,50,0.0004553598888360126,0.00045569851398665704,0.015137745147706808,0.0010520925600178345,0.0010166652393160211,0.01610113037062997,0.683752017,53.245737534
32,0.01,400,50,0.00045535988883592675,0.0004556985139866007,0.015137745147752082,0.001052092560019944,0.0010166652393187967,0.016101130370674933,0.66690371,53.270077503
32,0.01,400,50,0.000455359888835778,0.00045569851398644085,0.01513774514773387,0.0010520925600191668,0.0010166652393179085,0.016101130370655727,0.666501562,53.151967231
32,0.01,400,50,0.0004553598888358034,0.000455698513986471,0.015137745147720458,0.0010520925600179456,0.0010166652393165763,0.016101130370642626,0.662882902,52.565937462
32,0.01,800,50,0.00128130056356005,0.0012812207897175084,0.18439532168436143,0.0025354956706750325,0.0025526017834224643,0.18692796546358392,6.914184388000001,187.855100999
32,0.01,800,50,0.0012813005635712034,0.001281220789728655,0.18439532168424363,0.002535495670697348,0.0025526017834482215,0.18692796546349477,6.994881853,188.171310639
32,0.01,800,50,0.0012813005636029638,0.001281220789760454,0.18439532168437303,0.0025354956707600755,0.002552601783506508,0.18692796546369084,6.912726761,188.351473341
32,0.01,800,50,0.0012813005635824485,0.0012812207897398968,0.18439532168433323,0.0025354956707195524,0.002552601783466651,0.1869279654636159,6.93066765,187.997262112
32,0.01,800,50,0.0012813005635718049,0.001281220789729256,0.1843953216842776,0.002535495670698458,0.0025526017834489986,0.1869279654635262,6.876925732,183.227789397
32,0.01,1600,50,0.0036531284551627493,0.003653128339631764,0.18034804609463279,0.007295210118044068,0.0072873475727558475,0.1876915382286285,191.405228553,890.558594252
32,0.01,1600,50,0.0036531284551515847,0.003653128339620566,0.18034804609436078,0.007295210118027415,0.007287347572732422,0.18769153823028406,190.40755910299998,884.157538358
32,0.01,1600,50,0.003653128455790314,0.003653128340259356,0.18034804610084318,0.007295210119280413,0.007287347574022945,0.1876915381975428,189.86942267,880.375193814
