Core,dt,cps,num_steps,L2_Error_1,L2_Error_2,L2_Error_3,Linf_Error_1,Linf_Error_2,Linf_Error_3,Init_time,Elapsed_time
32,0.015,400,33,0.00039416659113387774,0.0003943612338690426,0.015135808716210262,0.0008846907529315967,0.000860938524717127,0.015963463441363537,1.67139747,148.713280284
32,0.015,400,33,0.000394166591134165,0.0003943612338693422,0.015135808716200135,0.0008846907529305975,0.0008609385247165718,0.0159634634413541,0.669194919,145.246540817
32,0.015,400,33,0.00039416659113328435,0.00039436123386846824,0.015135808716220396,0.0008846907529305975,0.0008609385247159057,0.01596346344137364,0.677556981,145.11015702
32,0.015,400,33,0.000394166591133532,0.00039436123386870275,0.015135808716216687,0.0008846907529288211,0.0008609385247143514,0.01596346344136931,0.6771031630000001,144.85335583
32,0.015,400,33,0.0003941665911334737,0.0003943612338686587,0.015135808716231493,0.0008846907529294872,0.0008609385247153506,0.01596346344138352,0.685500069,144.623674883
32,0.02,400,25,0.0003687992126904923,0.0003690325420284279,0.015129651748517558,0.0008375491178872688,0.0008138046342633197,0.015888926227371803,0.668716271,111.180729188
32,0.02,400,25,0.00036879921269030466,0.00036903254202824,0.01512965174851459,0.0008375491178873798,0.0008138046342629866,0.015888926227368472,0.658261921,109.33034577400001
32,0.02,400,25,0.00036879921269007866,0.000369032542028022,0.015129651748516064,0.0008375491178877129,0.0008138046342636528,0.01588892622736925,0.678093993,109.914739251
32,0.02,400,25,0.00036879921269045336,0.00036903254202839145,0.01512965174851377,0.0008375491178887121,0.0008138046342642079,0.015888926227368583,0.691237425,109.58741689
32,0.02,400,25,0.00036879921268988014,0.00036903254202783265,0.015129651748524769,0.0008375491178872688,0.0008138046342630977,0.01588892622737802,0.71484622,111.641795886
32,0.025,400,20,0.00023254839400275952,0.0002329519230265086,0.015117671471623462,0.0005407136043301551,0.0005329542361092553,0.015606170682104679,0.6889360099999999,89.05912734
32,0.025,400,20,0.00023254839400264427,0.00023295192302636832,0.015117671471620459,0.0005407136043299331,0.0005329542361081451,0.015606170682102126,0.698858014,88.17877804
32,0.025,400,20,0.00023254839400338196,0.00023295192302711127,0.015117671471608743,0.0005407136043315984,0.0005329542361094773,0.015606170682090468,0.6809752809999999,87.406144001
32,0.025,400,20,0.00023254839400321922,0.00023295192302694764,0.015117671471606586,0.0005407136043318204,0.0005329542361092553,0.01560617068208858,0.68408295,87.48709309
32,0.025,400,20,0.0002325483940032203,0.0002329519230269545,0.01511767147162098,0.0005407136043313763,0.0005329542361093663,0.015606170682103236,0.6637504609999999,87.576095142
64,0.015,400,33,0.00041947589693845487,0.00041960760754577325,0.009924005962028902,0.0009447562730337427,0.0008999845381565166,0.010794273972675062,2.540004743,114.90570276599999
64,0.015,400,33,0.00041947589693613164,0.00041960760754344145,0.009924005962040223,0.000944756273030301,0.000899984538153741,0.01079427397268561,2.3878998350000002,112.22684857
64,0.015,400,33,0.0004194758969357766,0.0004196076075430835,0.009924005962043658,0.00094475627303019,0.0008999845381556284,0.010794273972683056,2.2974957089999997,111.73416754200001
64,0.015,400,33,0.00041947589693808944,0.00041960760754541557,0.009924005962042258,0.0009447562730338537,0.0008999845381576268,0.01079427397268794,2.3381486099999997,112.134070489
64,0.015,400,33,0.00041947589693454036,0.0004196076075418437,0.009924005962048763,0.0009447562730279695,0.0008999845381527418,0.010794273972685387,2.3790309560000003,111.360405621
64,0.02,400,25,0.0002403817323224888,0.00024050717666566942,0.009898976087383207,0.0005639182447285634,0.0005361536015155193,0.010389794787056804,2.350918513,86.535477328
64,0.02,400,25,0.00024038173231796423,0.0002405071766611552,0.00989897608738625,0.0005639182447207919,0.0005361536015070816,0.010389794787043037,2.338230034,86.76472275699999
64,0.02,400,25,0.00024038173232243058,0.00024050717666560426,0.009898976087392883,0.0005639182447287855,0.0005361536015170736,0.010389794787061911,2.3259364650000003,86.918693774
64,0.02,400,25,0.00024038173232123885,0.00024050717666443603,0.009898976087378407,0.0005639182447253438,0.0005361536015137429,0.010389794787047367,2.3631294620000003,87.29786692500001
64,0.02,400,25,0.00024038173232115873,0.00024050717666435645,0.00989897608738878,0.0005639182447277863,0.0005361536015128548,0.010389794787053807,2.333906056,87.102314902
64,0.025,400,20,0.00022567271618550015,0.0002257990543263576,0.00989378906153489,0.0005266558968000062,0.0005022875358972372,0.010349787806147025,2.417229284,70.530080938
64,0.025,400,20,0.00022567271618683396,0.0002257990543277112,0.009893789061511239,0.0005266558968033369,0.0005022875359016781,0.010349787806131371,2.28094508,71.017473771
64,0.025,400,20,0.00022567271618586878,0.00022579905432674105,0.009893789061509938,0.0005266558968005613,0.0005022875358967931,0.010349787806128817,2.314128927,72.095006851
64,0.025,400,20,0.0002256727161870226,0.0002257990543278929,0.00989378906150682,0.0005266558968047802,0.0005022875359027883,0.010349787806125598,2.274783798,71.642322005
64,0.025,400,20,0.00022567271618675712,0.00022579905432762695,0.009893789061514354,0.0005266558968033369,0.0005022875359023442,0.01034978780612593,2.324802356,71.318928468
