Core,dt,cps,num_steps,L2_Error_1,L2_Error_2,L2_Error_3,Linf_Error_1,Linf_Error_2,Linf_Error_3,Init_time,Elapsed_time
32,0.015,400,33,0.0003941665911336,0.00039436123386880006,0.015135808716215721,0.0008846907529301399,0.00086093852471582,0.0159634634413688,0.8761505204000001,145.7094017668
32,0.02,400,25,0.00036879921269018,0.00036903254202813997,0.01512965174851728,0.0008375491178876201,0.0008138046342634,0.015888926227371182,0.682231166,110.3310053978
32,0.025,400,20,0.00023254839400300002,0.00023295192302674001,0.015117671471615978,0.00054071360433092,0.0005329542361090401,0.01560617068209776,0.6833205432,87.9414475226
64,0.015,400,33,0.00041947589693654,0.00041960760754385996,0.009924005962040721,0.0009447562730311601,0.0008999845381552201,0.010794273972683361,2.3885159706,112.47223899759999
64,0.02,400,25,0.000240381732321,0.00024050717666419997,0.009898976087385861,0.00056391824472618,0.0005361536015132,0.01038979478705256,2.342424106,86.9238151372
64,0.025,400,20,0.00022567271618635998,0.00022579905432722,0.0098937890615154,0.00052665589680236,0.0005022875359001,0.010349787806131699,2.3223778889999998,71.3207624066
